displayed_layer,table_column,median_auroc
0,0,0.5431985294117647
1,1,0.540453460620525
2,2,0.5560649474689588
3,3,0.5522167487684729
4,4,0.5553283925376948
5,5,0.5921244530870199
6,6,0.6065789473684211
7,7,0.5814856289660321
8,8,0.5925478956101975
9,9,0.5756634878391365
10,10,0.5847704367301232
11,11,0.5930054644808743
12,12,0.5866959064327486
13,13,0.5907321085823966
14,14,0.5930232558139534
15,15,0.6101441137937489
16,16,0.5875060768108896
17,17,0.6201538693618948
18,18,0.6061046511627907
19,19,0.5999852147556739
20,20,0.6103781882145998
21,21,0.6110611510791366
22,22,0.6032748538011696
23,23,0.5755156353958748
24,24,0.5789312977099236
25,25,0.5879376644403966
26,26,0.6024662360540224
27,27,0.6076023391812866
28,28,0.6428571428571428
29,29,0.6152709359605911
30,30,0.6392805055906661
31,31,0.6589403973509934
32,32,0.6231617647058824
