uniprot,pdb,n_chains,n_interface,n_candidates,n_iface_in_candidates,median_interface,median_non_interface,diff,mean_interface,mean_non_interface,mean_diff,n_allo,n_allo_at_interface
A0A0J9WZA6,3PJG,2,57,385,57,0.0028249872848391533,0.0011556646786630154,0.001669322606176138,0.0029083425148488267,0.0021072010186333322,0.0008011414962154945,11,0
B8GZM2,1W25,2,31,451,31,0.0006317513179965317,0.0008681647595949471,-0.00023641344159841537,0.0008257177851778726,0.0019373621031436848,-0.0011116443179658123,23,0
E8ME30,1LTH,4,68,317,68,0.0023067339789122343,0.0015455434331670403,0.000761190545745194,0.0028815531729967057,0.0026779686796000175,0.00020358449339668823,5,4
O31611,5DED,4,59,208,59,0.0028402458410710096,0.002366872737184167,0.00047337310388684273,0.004179305280558765,0.003640936097698974,0.000538369182859791,12,5
O43353,4C8B,2,34,537,34,0.0012019825517199934,0.0007430039695464075,0.0004589785821735859,0.002252746994867373,0.0015409985524160181,0.0007117484424513547,30,1
O54438,4BNZ,4,59,244,58,0.0029362754430621862,0.0021567518124356866,0.0007795236306264997,0.004309853550913776,0.002954680706381858,0.0013551728445319183,10,8
O57693,1UXN,4,113,495,111,0.0015418980037793517,0.00211002875585109,-0.0005681307520717382,0.0025265848663685894,0.0036498872057867024,-0.001123302339418113,12,10
O60547,5IN4,4,76,364,75,0.006227047182619572,0.003361104056239128,0.0028659431263804436,0.008196753355053564,0.005599287229390319,0.002597466125663245,15,9
O60678,4RYL,2,41,525,41,0.003396395593881607,0.0014065459254197776,0.0019898496684618294,0.003447531844580137,0.002925703125478592,0.000521828719101545,17,3
O60701,3PRJ,6,99,485,97,0.005177358165383339,0.002820917754434049,0.00235644041094929,0.006843221867120988,0.004938159352042424,0.001905062515078564,17,5
P00344,1LDN,4,85,314,85,0.0016155220801010728,0.001663590781390667,-4.8068701289594173e-05,0.002694848632467363,0.0027698759303741386,-7.502729790677572e-05,6,6
P00366,6DHQ,6,120,555,120,0.000590338691836223,0.0006883191526867449,-9.798046085052192e-05,0.0014924850166911105,0.0015769063769746038,-8.442136028349325e-05,54,28
P00489,8GPB,2,54,827,54,0.001700376975350082,0.0039010606706142426,-0.0022006836952641606,0.0019297491655581528,0.006233185068716236,-0.0043034359031580835,71,20
P00636,1RDY,4,94,319,94,0.014890797436237335,0.012330954894423485,0.0025598425418138504,0.018866386006962745,0.017219147549735175,0.0016472384572275706,35,18
P00669,11BG,2,46,144,40,0.009649998974055052,0.007376074558123946,0.0022739244159311056,0.01191402894910425,0.009930898229448268,0.001983130719655982,8,4
P00735,3PMA,2,37,616,37,0.006373216398060322,0.0017802829388529062,0.004592933459207416,0.006325907621381653,0.0038835482497133365,0.0024423593716683166,12,1
P04711,5VYJ,4,70,961,70,0.0013884882209822536,0.0014514352660626173,-6.294704508036375e-05,0.0018840107376620705,0.0027851995922662694,-0.0009011888546041989,14,8
P06169,2VK8,2,97,539,82,0.01773700211197138,0.008339593186974525,0.009397408924996853,0.020955496427898363,0.011307748718823039,0.009647747709075324,16,2
P06709,2EWN,2,32,312,29,0.007858781144022942,0.005619950592517853,0.002238830551505089,0.010300912091444278,0.007528898372008817,0.002772013719435461,44,5
P07071,1H7A,2,60,582,60,0.007812341907992959,0.010062128771096468,-0.002249786863103509,0.009536253346595913,0.013072736125521477,-0.0035364827789255635,12,5
P0A1E3,1FCJ,2,44,317,44,0.004145001759752631,0.0036961627192795277,0.0004488390404731035,0.005679147722813385,0.004946123198827817,0.0007330245239855681,4,4
P0A434,1QW7,2,38,342,38,0.013009057380259037,0.013109899125993252,-0.00010084174573421478,0.013543949241896993,0.01655867396192135,-0.0030147247200243577,2,0
P0A796,1PFK,4,77,301,72,0.012244505807757378,0.01373976282775402,-0.001495257019996643,0.014316763327870932,0.018463934338590594,-0.004147171010719663,16,10
P0A962,2HIM,4,77,335,77,0.00135005300398916,0.0012474876129999757,0.00010256539098918438,0.0019609411776235156,0.0026312394644307014,-0.0006702982868071858,8,5
P0A9T0,2PA3,4,89,401,84,0.004059620434418321,0.003981988877058029,7.763155736029148e-05,0.007544523742537768,0.005771061314096563,0.0017734624284412052,12,9
P0ABH7,1NXG,6,161,421,160,0.0013948570704087615,0.0041481126099824905,-0.002753255539573729,0.0026154211875109466,0.004931662498859125,-0.0023162413113481783,17,5
P0AEE3,3GCO,3,55,346,55,0.006938849575817585,0.004712862893939018,0.0022259866818785667,0.00822891548953273,0.006803120194399838,0.0014257952951328918,2,1
P11974,3N25,4,102,519,100,0.003780697239562869,0.004869981203228235,-0.0010892839636653662,0.005043894721893594,0.006732617003947656,-0.0016887222820540625,16,0
P13491,5NQB,4,112,329,112,0.0012830885243602097,0.0015486106276512146,-0.0002655221032910049,0.0023038137748829157,0.002779608359023894,-0.0004757945841409785,19,9
P14193,1DKR,6,95,314,92,0.0013593083713203669,0.001703043351881206,-0.0003437349805608392,0.002288981977946368,0.0028612945396096555,-0.0005723125616632877,13,11
P14780,5UE4,2,13,704,13,0.0005416895146481693,0.0006325019639916718,-9.081244934350252e-05,0.0005455842787901369,0.0011508872772490488,-0.0006053029984589118,2,0
P17707,1MSV,2,27,315,27,0.010267021134495735,0.013111351057887077,-0.002844329923391342,0.00983642565983313,0.017959536834193084,-0.008123111174359954,8,0
P19367,1QHA,2,46,908,45,0.0012853597290813923,0.0014612318482249975,-0.00017587211914360523,0.0021952119474816655,0.002896128250607036,-0.0007009163031253705,15,0
P22498,5IXE,2,36,483,36,0.0017395791364833713,0.002490377053618431,-0.0007507979171350598,0.0024273424448134997,0.0033736028083468845,-0.0009462603635333848,19,0
P23368,1GZ3,4,91,564,91,0.004849206656217575,0.007751935627311468,-0.002902728971093893,0.008489180164370726,0.012060667134882453,-0.003571486970511727,8,5
P23921,3HNC,2,32,785,32,0.002220026799477637,0.0015944503247737885,0.0006255764747038484,0.002313804638106376,0.0031568916197736337,-0.0008430869816672577,34,15
P27443,1O0S,4,121,637,121,0.0017081545665860176,0.0011279143509455025,0.0005802402156405151,0.0022356243179206666,0.0028144256275552397,-0.0005788013096345731,7,4
P29466,2FQQ,4,54,393,51,0.013779344037175179,0.007610332686454058,0.006169011350721121,0.018997255904490456,0.00812618495359995,0.010871070950890505,3,1
P31129,4H54,2,48,293,48,0.0011269145761616528,0.0019003008492290974,-0.0007733862730674446,0.002285151775140548,0.00287580879295853,-0.000590657017817982,3,1
P31153,5UGH,2,62,361,51,0.03344118595123291,0.019641466438770294,0.013799719512462616,0.047472488829026036,0.02601057976304043,0.021461909065985607,21,11
P36888,4RT7,2,23,990,23,0.00080778420669958,0.0003928347141481936,0.00041494949255138636,0.0008287910832618566,0.0009046654497178641,-7.587436645600755e-05,31,0
P42574,3KJF,4,54,266,48,0.015228647738695145,0.008881117682904005,0.00634753005579114,0.02293483045650646,0.011751687109316572,0.01118314334718989,14,0
P45983,3O2M,2,21,424,21,0.0024941768497228622,0.001057369401678443,0.0014368074480444193,0.0031920804813992056,0.0019492237647332682,0.0012428567166659374,13,0
P46926,1NE7,6,45,278,43,0.005415510386228561,0.008869238197803497,-0.003453727811574936,0.009381869618326079,0.011266206001783623,-0.0018843363834575438,11,6
P49427,4MDK,2,19,233,19,0.0027529788203537464,0.0019497432513162494,0.000803235569037497,0.002993099642672429,0.0035381849896528312,-0.0005450853469804022,16,6
P49902,5OPK,4,74,556,74,0.0015506410272791982,0.0017012730240821838,-0.00015063199680298567,0.001848437835154048,0.0027590280081603398,-0.0009105901730062918,35,5
