UniProt,Ohm,EVcouplings,ESM1b
A0A0J9WZA6,0.30311132717549827,0.4299951385512883,0.6507049100631987
A0A1I9GEN8,0.573216696669667,0.4964840234023402,0.4066719171917192
B8GZM2,0.8383422323925757,0.595489638358391,0.664872003250711
E8ME30,0.5108974358974359,0.34102564102564104,0.9256410256410257
O14757,0.7875386996904025,0.7699948400412797,0.7889576883384932
O14965,0.5935754189944134,0.5331537642990157,0.6741819632881085
O31611,0.6915881052141527,0.33971088435374147,0.4192176870748299
O43353,0.530834448906738,0.669559500328731,0.8710716633793557
O54438,0.2794395116537181,0.6376068376068376,0.8499999999999999
O57693,0.42494824016563143,0.4553140096618358,0.2510351966873706
O60547,0.32575187969924807,0.49398280802292266,0.5516714422158548
O60678,0.696039833256137,0.6751968503937008,0.6901343214451134
O60701,0.4334380028607187,0.9030920060331825,0.86701860231272
P00344,0.46253729319229725,0.5562770562770563,0.8252164502164503
P00366,0.6600004083466047,0.4713535891180602,0.6023508538478598
P00489,0.4099131828005067,0.4637081749757806,0.32942097026604067
P00636,0.44504913076341646,0.4480885311871227,0.6241448692152918
P00669,0.717479674796748,0.4696691176470588,0.6920955882352942
P00735,0.7372378587196468,0.5738134657836644,0.6750827814569537
P00775,0.4762267021681248,0.608596424496006,0.5888170406998858
P04629,0.6937908496732025,0.7315953654188949,0.7582293523469994
P04711,0.8276433885761524,0.5159903454518027,0.5375622265801779
P06169,0.35167464114832536,0.5399139579349904,0.3508604206500956
P06709,0.3531929464132854,0.805461329715061,0.8189450474898237
P07071,0.6739766081871346,0.5052631578947369,0.555701754385965
P07379,0.08961038961038961,0.7987012987012987,0.6874852420306966
P09237,0.21292775665399244,0.1711026615969582,0.28517110266159695
P09960,0.6319801791499905,0.21917286068229466,0.3169430150562226
P0A1E3,0.6933884297520662,0.41693290734824284,0.8019169329073482
P0A434,0.6536098310291859,0.20441176470588235,0.6426470588235293
P0A759,0.5740740740740742,0.49603174603174605,0.41666666666666663
P0A796,0.7339912280701755,0.3714912280701754,0.3991228070175439
P0A962,0.698708432304038,0.7801987767584098,0.5118501529051988
P0A9T0,0.16591688089117396,0.7474293059125964,0.6248928877463582
P0ABH7,0.7261826663751002,0.3800232964472918,0.22888759464181713
P0AEE3,0.436046511627907,0.622093023255814,0.5625
P10253,0.543482905982906,0.33536324786324784,0.772008547008547
P11974,0.7314622701736466,0.532803180914513,0.4069333996023857
P13491,0.22081223673573586,0.9081494057724957,0.7078098471986418
P14193,0.26758704337899547,0.522361359570662,0.36493738819320215
P14780,0.6637554585152838,0.13603988603988604,0.7051282051282052
P17707,0.5253547579298832,0.7601791530944626,0.5394951140065147
P18031,0.7530075187969925,0.7165413533834586,0.7922932330827068
P18654,0.7635041551246537,0.613573407202216,0.54235918744229
P19367,0.3588612368024133,0.41552818215752146,0.827398282941396
P22498,0.2336660617059891,0.6536978221415607,0.5446914700544464
P23368,0.4617355904404874,0.4626798561151079,0.49213129496402874
P23921,0.4189046564719109,0.5368528236860657,0.43115062269914617
P24941,0.2242757242757243,0.6868131868131868,0.6824841824841825
P27443,0.7472527472527473,0.4954648526077097,0.7392290249433107
P29466,0.5931623931623932,0.8914529914529914,0.8914529914529914
P31129,0.3779707495429616,0.6620689655172414,0.5609195402298851
P31153,0.6641143440530883,0.3876750700280112,0.6773109243697478
P31749,0.43771874005727013,0.6556633789373211,0.6837416481069043
P35557,0.5344868735083532,0.5292959427207637,0.5100238663484488
P36888,0.8089071277204076,0.9169497796764103,0.9027885229910189
P42574,0.3562925170068027,0.6678004535147393,0.35232426303854875
P42676,0.7383186705767351,0.3391006842619746,0.2697458455522972
P43235,0.7429508196721311,0.40153005464480873,0.580983606557377
P45983,0.4591053715141306,0.47988021710649453,0.60078607523863
P46926,0.426127681530432,0.5812053115423902,0.7030983997276132
P49427,0.7211981566820277,0.6370967741935484,0.625
P49902,0.49426926240745817,0.6665204277488346,0.5797641897449959
P52731,,0.29987468671679196,0.2442982456140351
P53608,0.6834475864038846,0.5916666666666667,0.37564102564102564
P53671,0.5150970524802301,0.817102437792093,0.8988253126184161
P53704,,0.34974064672773425,0.34146341463414637
P54578,0.3783953680727874,0.7963675213675213,0.6895299145299145
P54830,0.8105529759392149,0.31004643309413255,0.8823132123258759
P55210,0.4712454212454213,0.6644628099173554,0.7198347107438017
P55212,0.4745031712473573,0.4253435114503817,0.6006106870229007
P63279,0.8311688311688311,0.051948051948051965,0.3831168831168831
P68400,0.4473761360304896,0.6451187335092348,0.5731457050718265
P9WI55,0.8320197044334976,0.40147783251231534,0.7458128078817734
P9WQN9,0.3860795454545454,0.6096590909090909,0.9193181818181818
Q01217,,0.6457179184451912,0.2623739896467169
Q05769,0.39103067347053216,0.6476993701291769,0.6873065015479876
Q06124,0.698925925925926,0.5794259259259259,0.3236666666666666
Q08698,0.4252731395588539,0.845959595959596,0.5471036899608328
Q12650,0.2287829724077447,0.5616272009714633,0.25389597247520745
Q13153,0.6461903659101436,0.7539370078740157,0.8928323297823066
Q13164,0.7136844636844636,0.7971681096681097,0.8454184704184704
Q13547,0.4910861670518323,0.4578243644767249,0.4697920105645428
Q13976,,0.5941265060240963,0.31965361445783136
Q14790,0.6202339181286549,0.8401169590643276,0.6191812865497076
Q26998,0.5813400380538191,0.28521250439058665,0.44397611520899194
Q2G036,0.054646652049249456,0.5425531914893618,0.7553191489361702
Q2HRB6,0.6858293480996728,0.6230186318131256,0.8991240266963293
Q59643,0.6426946631671042,0.6380262249827467,0.7049689440993788
Q64610,0.31082371321933855,0.7085756444753061,0.8970864797615947
Q6VE93,0.8125846442337743,0.42254401500156263,0.3674341077195541
Q8CG03,,0.3768894192521878,0.32373707239459026
Q8DSE5,0.53686327077748,0.6003937007874016,0.6173228346456692
Q8F3Q1,,0.4782546082949308,0.20204493087557604
Q8I719,,0.6798275590137217,0.6244676936018085
Q8KBW6,0.5588409663554172,0.7266588373458603,0.6506165590135056
Q8N6T7,0.3875582168995343,0.35778443113772457,0.6611776447105788
Q8TE04,0.5798255593477436,0.7594357789331793,0.7199114192181783
Q8X607,0.25258275353152015,0.5704195656757327,0.4741724646847987
Q922S4,,0.6626736747748849,0.647190644990425
Q99538,0.6020066889632107,0.8138238573021183,0.6960237829803047
Q9NPD8,0.42063492063492064,0.6051587301587302,0.9011904761904761
Q9NTG7,0.4871310507674144,0.7369539551357733,0.7419126328217238
Q9PPB4,0.38617404875948547,0.708235294117647,0.4919786096256684
Q9TZZ6,0.705589960886571,0.2868663594470046,0.7330069124423964
Q9UDY8,0.9227078891257995,0.7921997157071784,0.7560412224591329
Q9UM07,0.6116721887349806,0.5234920761646242,0.38828789269889424
Q9Y223,,0.278728800126803,0.19099698842922808
Q9ZLT0,0.5074754164158137,0.6249499399279135,0.48578293952743296
